Suburb,Rooms,Type,Price,Date,Bedroom2,Bathroom,Car,Landsize,Propertycount
Abbotsford,2,h,1480000,12/3/16,2,1,1,202,4019
Abbotsford,2,h,1035000,2/4/16,2,1,0,156,4019
Abbotsford,3,h,1465000,3/4/17,3,2,0,134,4019
Abbotsford,3,h,850000,3/4/17,3,2,1,94,4019
Abbotsford,4,h,1600000,6/4/16,3,1,2,120,4019
Abbotsford,2,h,941000,5/7/16,2,1,0,181,4019
Abbotsford,3,h,1876000,5/7/16,4,2,0,245,4019
Abbotsford,2,h,1636000,10/8/16,2,1,2,256,4019
Abbotsford,3,h,1000000,10/8/16,,,,,4019
Abbotsford,2,t,745000,10/8/16,,,,,4019
Abbotsford,1,u,300000,10/8/16,1,1,1,0,4019
Abbotsford,2,h,1097000,10/8/16,3,1,2,220,4019
Abbotsford,2,u,542000,10/8/16,,,,,4019
Abbotsford,2,u,760000,12/10/16,,,,,4019
Abbotsford,1,u,481000,12/10/16,,,,,4019
Abbotsford,2,u,700000,11/12/16,2,2,1,0,4019
Abbotsford,3,h,1350000,11/12/16,3,2,2,214,4019
Abbotsford,2,u,750000,11/12/16,2,2,1,0,4019
Abbotsford,4,h,1985000,11/12/16,,,,,4019
Abbotsford,1,u,500000,11/12/16,,,,,4019
Abbotsford,2,h,1172500,8/13/16,2,1,1,195,4019
Abbotsford,1,u,441000,5/14/16,1,1,1,0,4019
Abbotsford,2,h,1310000,10/15/16,2,1,2,238,4019
Abbotsford,3,h,1200000,7/16/16,3,2,1,113,4019
Abbotsford,2,t,847000,7/16/16,,,,,4019
Abbotsford,3,h,1176500,7/16/16,2,1,1,138,4019
Abbotsford,3,h,955000,9/17/16,3,1,0,183,4019
Abbotsford,2,h,890000,9/17/16,2,1,1,150,4019
Abbotsford,4,h,1330000,3/18/17,4,2,2,780,4019
Abbotsford,3,t,900000,3/18/17,3,2,2,0,4019
Abbotsford,3,u,1090000,3/18/17,3,2,2,4290,4019
Abbotsford,2,u,500000,6/18/16,2,1,1,0,4019
Abbotsford,2,h,1100000,6/18/16,2,2,1,124,4019
Abbotsford,2,h,1315000,11/19/16,2,1,0,147,4019
Abbotsford,1,u,480000,11/19/16,,,,,4019
Abbotsford,1,u,423500,5/22/16,,,,,4019
Abbotsford,1,u,426000,8/22/16,1,1,1,0,4019
Abbotsford,3,h,1447500,8/22/16,3,3,1,166,4019
Abbotsford,1,u,457000,8/22/16,1,1,1,0,4019
Abbotsford,2,h,1135000,8/22/16,2,2,2,98,4019
Abbotsford,2,h,700000,4/23/16,,,,,4019
Abbotsford,4,h,1542000,9/24/16,4,3,1,0,4019
Abbotsford,3,t,962000,2/25/17,,,,,4019
Abbotsford,3,h,1290000,2/25/17,3,2,2,147,4019
Abbotsford,3,h,1290000,2/25/17,3,1,1,168,4019
Abbotsford,1,u,470000,7/26/16,1,1,1,0,4019
Abbotsford,2,h,1180000,11/27/16,2,1,0,162,4019
Abbotsford,3,h,1195000,11/27/16,3,2,1,120,4019
Abbotsford,2,h,1012500,5/28/16,2,1,0,182,4019
Abbotsford,2,u,970000,5/28/16,,,,,4019
Abbotsford,2,h,1030000,7/30/16,2,1,1,172,4019
Abbotsford,3,h,927000,7/30/16,,,,,4019
Airport West,3,t,840000,9/3/16,3,2,1,303,3464
Airport West,3,h,730000,12/3/16,3,2,1,0,3464
Airport West,3,h,770000,3/4/17,3,2,1,0,3464
Airport West,2,h,603000,3/4/17,2,1,1,272,3464
Airport West,3,t,700000,3/4/17,3,2,2,239,3464
Airport West,3,h,600000,3/4/17,2,1,1,290,3464
Airport West,2,u,500000,3/4/17,2,1,1,168,3464
Airport West,2,t,420000,6/4/16,,,,,3464
Airport West,3,t,500000,6/4/16,,,,,3464
Airport West,5,h,1035000,8/6/16,,,,,3464
Airport West,4,h,960000,8/6/16,,,,,3464
Airport West,4,h,960000,8/6/16,,,,,3464
Airport West,3,h,720000,8/6/16,2,1,1,620,3464
Airport West,4,h,785000,8/6/16,3,1,2,597,3464
Airport West,6,h,725000,5/7/16,6,3,2,976,3464
Airport West,2,t,450000,5/7/16,2,1,1,110,3464
Airport West,2,u,515000,11/7/16,2,1,1,141,3464
Airport West,3,h,680000,10/8/16,,,,,3464
Airport West,2,u,530000,9/10/16,2,1,1,120,3464
Airport West,3,h,895000,9/10/16,3,1,6,1063,3464
Airport West,3,u,600000,9/10/16,,,,,3464
Airport West,3,h,805000,12/10/16,3,1,1,0,3464
Airport West,3,t,760000,12/10/16,,,,,3464
Airport West,3,u,752000,2/11/17,3,1,1,265,3464
Airport West,3,u,580000,11/12/16,,,,,3464
Airport West,3,h,725000,11/12/16,,,,,3464
Airport West,4,h,758000,8/13/16,,,,,3464
Airport West,2,u,440000,8/13/16,2,1,1,192,3464
Airport West,3,h,970000,5/14/16,,,,,3464
Airport West,5,h,755000,5/14/16,3,2,2,596,3464
Airport West,4,h,985000,10/15/16,,,,,3464
Airport West,3,t,700000,10/15/16,3,2,2,165,3464
Airport West,2,u,509500,10/15/16,,,,,3464
Airport West,3,h,830000,4/16/16,3,1,2,971,3464
Airport West,2,u,462500,7/16/16,2,1,1,164,3464
Airport West,3,h,670000,7/16/16,3,2,2,657,3464
Airport West,2,h,675000,7/16/16,2,1,1,612,3464
Airport West,3,h,1042000,7/16/16,3,2,5,612,3464
Airport West,3,h,910000,9/17/16,3,1,1,775,3464
