Suburbasd,Address,Pricesdasd,SellerG,,,,,,,Suburb,Prices
Abbotsford,85 Turner St,1480000,Biggin,,,,,,,Abbotsford,1026500
Abbotsford,25 Bloomburg St,1035000,Biggin,,,,,,,Aberfeldie,1266047.17
Abbotsford,5 Charles St,1465000,Biggin,,,,,,,Airport West,737177.5794
Abbotsford,40 Federation La,850000,Biggin,,,,,,,Albanvale,533062.5
Abbotsford,55a Park St,1600000,Nelson,,,,,,,Albert Park,1924388.158
Abbotsford,129 Charles St,941000,Jellis,,,,,,,Albion,602380.4348
Abbotsford,124 Yarra St,1876000,Nelson,,,,,,,Alphington,1298142.857
Abbotsford,98 Charles St,1636000,Nelson,,,,,,,Altona,843032.7778
Abbotsford,217 Langridge St,1000000,Jellis,,,,,,,Altona Meadows,631388.8889
Abbotsford,18a Mollison St,745000,Jellis,,,,,,,Altona North,780438.5965
Abbotsford,6/241 Nicholson St,300000,Biggin,,,,,,,Ardeer,617400
Abbotsford,10 Valiant St,1097000,Biggin,,,,,,,Armadale,1616663.866
Abbotsford,403/609 Victoria St,542000,Dingle,,,,,,,Ascot Vale,1043745.562
Abbotsford,25/84 Trenerry Cr,760000,Biggin,,,,,,,Ashburton,1659566.667
Abbotsford,106/119 Turner St,481000,Purplebricks,,,,,,,Ashwood,1116973.288
Abbotsford,411/8 Grosvenor St,700000,Jellis,,,,,,,Aspendale,1207571.429
Abbotsford,40 Nicholson St,1350000,Nelson,,,,,,,Aspendale Gardens,869333.3333
Abbotsford,123/56 Nicholson St,750000,Biggin,,,,,,,Attwood,831666.6667
Abbotsford,22 Park St,1985000,Biggin,,,,,,,Avondale Heights,831053.3981
Abbotsford,13/84 Trenerry Cr,500000,Biggin,,,,,,,Bacchus Marsh,285000
Abbotsford,45 William St,1172500,Biggin,,,,,,,Balaclava,766681.8182
Abbotsford,7/20 Abbotsford St,441000,Greg,,,,,,,Balwyn,1824173.529
Abbotsford,16 William St,1310000,Jellis,,,,,,,Balwyn North,1749192.093
Abbotsford,42 Henry St,1200000,Jellis,,,,,,,Bayswater,709690.4762
Abbotsford,250 Langridge St,847000,Jellis,,,,,,,Bayswater North,722500
Abbotsford,78 Yarra St,1176500,LITTLE,,,,,,,Beaconsfield,603500
Abbotsford,196 Nicholson St,955000,Collins,,,,,,,Beaconsfield Upper,719500
Abbotsford,42 Valiant St,890000,Biggin,,,,,,,Beaumaris,1551642.857
Abbotsford,3/72 Charles St,1330000,Kay,,,,,,,Bellfield,808704.5455
Abbotsford,13/11 Nicholson St,900000,Beller,,,,,,,Bentleigh,1277136.935
Abbotsford,138/56 Nicholson St,1090000,Jellis,,,,,,,Bentleigh East,1103215.152
Abbotsford,6/219 Nicholson St,500000,Collins,,,,,,,Berwick,780722.2222
Abbotsford,52a William St,1100000,Biggin,,,,,,,Black Rock,1365305.556
Abbotsford,49 Park St,1315000,Marshall,,,,,,,Blackburn,1319903.333
Abbotsford,65/80 Trenerry Cr,480000,Biggin,,,,,,,Blackburn North,1157842.105
Abbotsford,119/52 Nicholson St,423500,hockingstuart,,,,,,,Blackburn South,1056100
Abbotsford,5/20 Abbotsford St,426000,Greg,,,,,,,Bonbeach,1078200
Abbotsford,48 Abbotsford St,1447500,Nelson,,,,,,,Boronia,842970.5882
Abbotsford,116/56 Nicholson St,457000,Jellis,,,,,,,Box Hill,1279567.692
Abbotsford,159 Park St,1135000,Nelson,,,,,,,Braybrook,668921.3115
Abbotsford,49/84 Trenerry Cr,700000,Biggin,,,,,,,Briar Hill,743590.9091
Abbotsford,31 Turner St,1542000,Collins,,,,,,,Brighton,1896783.15
Abbotsford,17/1 Abbot St,962000,Jellis,,,,,,,Brighton East,1588584.021
Abbotsford,166 Gipps St,1290000,Biggin,,,,,,,Broadmeadows,567855.2632
Abbotsford,60 Stafford St,1290000,Biggin,,,,,,,Brookfield,450500
Abbotsford,11/205 Gipps St,470000,Nelson,,,,,,,Brooklyn,606837
Abbotsford,47 Studley St,1180000,Jellis,,,,,,,Brunswick,971226.049
Abbotsford,45 Yarra St,1195000,Jellis,,,,,,,Brunswick East,870475.2066
Abbotsford,200 Nicholson St,1012500,Nelson,,,,,,,Brunswick West,795537.8378
Abbotsford,82/84 Trenerry Cr,970000,Biggin,,,,,,,Bulleen,1152688.421
Abbotsford,27 Charles St,1030000,Biggin,,,,,,,Bullengarook,535000
Abbotsford,40/80 Trenerry Cr,927000,Biggin,,,,,,,Bundoora,798135.5932
Airport West,154 Halsey Rd,840000,Nelson,,,,,,,Burnley,1132751.25
Airport West,50 Bedford St,730000,Nelson,,,,,,,Burnside,618750
Airport West,50 Bedford St,770000,Nelson,,,,,,,Burnside Heights,574500
Airport West,23 Hart St,603000,Nelson,,,,,,,Burwood,1214144.444
Airport West,1/80 Hawker St,700000,Brad,,,,,,,Burwood East,1081572.222
Airport West,1/37 Hillside Gr,600000,Maddison,,,,,,,Cairnlea,678375
Airport West,2/49 McIntosh St,500000,Barry,,,,,,,Camberwell,1853581
Airport West,4/9 West Ct,420000,Barry,,,,,,,Campbellfield,473500
Airport West,1/36 York St,500000,Nelson,,,,,,,Canterbury,2252470.149
Airport West,33 Bowes Av,1035000,Airport,,,,,,,Carlton,1035687.069
Airport West,89 Bowes Av,960000,Barry,,,,,,,Carlton North,1480603.774
Airport West,45 Laurence Av,960000,Nelson,,,,,,,Carnegie,924357.5879
Airport West,54 Marshall Rd,720000,Barry,,,,,,,Caroline Springs,639083.3333
Airport West,36 Roberts Rd,785000,Considine,,,,,,,Carrum,722035.7143
Airport West,11 Harrington Rd,725000,Barry,,,,,,,Carrum Downs,546187.5
Airport West,2/252 Parer Rd,450000,Barry,,,,,,,Caulfield,763531.25
Airport West,3/19 Hart St,515000,Barry,,,,,,,Caulfield East,1056176.471
Airport West,81a Roberts Rd,680000,Nelson,,,,,,,Caulfield North,1013718.75
Airport West,2/62 Clydesdale Rd,530000,Nelson,,,,,,,Caulfield South,1164933.333
Airport West,3 Deidre Ct,895000,Rendina,,,,,,,Chadstone,991853.8462
Airport West,3/24 Elstone Av,600000,Nelson,,,,,,,Chelsea,833464.2857
Airport West,13 Etzel St,805000,Nelson,,,,,,,Chelsea Heights,731611.1111
Airport West,37a North St,760000,Barry,,,,,,,Cheltenham,1012903.226
Airport West,1/43 Cameron St,752000,Nelson,,,,,,,Chirnside Park,779327.3333
Airport West,1/69 Bowes Av,580000,Nelson,,,,,,,Clarinda,941716.6667
Airport West,2/9 El Reno Cr,725000,Ray,,,,,,,Clayton,1252743.778
Airport West,92 McNamara Av,758000,Jellis,,,,,,,Clayton South,859656.25
Airport West,145a Victory Rd,440000,Barry,,,,,,,Clifton Hill,1192317.568
Airport West,20 Creswell Av,970000,Barry,,,,,,,Clyde North,662000
Airport West,241 Parer Rd,755000,Propertyau,,,,,,,Coburg,911411.0044
